,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,type,,,val,
,,,,,,,,,qnan,,,0x7FC0,
,,,,,,,,,snan,,,0xFFA0,
,,,,,,,,,inf,,,0x7F80,
,,,,,,,,,-inf,,,0xFF80,
,,,,,,,,,zero,,,0x0000,
,,,,,,,,,-zero,,,0x8000,
,,,,,,,,,normal,,,0x3FC1,
,,,,,,,,,-normal,,,0xBFC1,
,,,,,,,,,subnormal,,,0x0040,
,,,,,,,,,-subnormal,,,0x8040,
,,,,,,,,,,,,,
,,,,,,,,,test,,,,
,,,,,,,,,x,,exp_out,,test_out
,,,,,,,,,qnan,,0x0,,
,,,,,,,,,snan,,0x0,,
,,,,,,,,,+inf,,0xF,,
,,,,,,,,,-inf,,0x8,,
,,,,,,,,,+zero,,0x0,,
,,,,,,,,,-zero,,0x0,,
,,,,,,,,,+subnormal,,0x0,,
,,,,,,,,,-subnormal,,0x0,,
,,,,,,,,,normal,,0x2,,
,,,,,,,,,-normal,,0xE,,
