,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,type,,,val,
,,,,,,qnan,,,0x7FC0,
,,,,,,snan,,,0xFFA0,
,,,,,,inf,,,0x7F80,
,,,,,,subnormal,,,0x0040,
,,,,,,normal,,,0x3C00,
,,,,,,normal2,,,0x3BFF,
,,,,,,normal3,,,0x3400,
,,,,,,normal4,,,0x33FF,
,,,,,,max_normal,,,0x7F7F,
,,,,,,,,,,
,,,,,,test,,,,
,,,,,,x,,exp_out,,test_out
,,,,,,snan,,0x7FC00000,,
,,,,,,inf,,0x7F800000,,
,,,,,,subnormal,,0x00400000,,
,,,,,,normal,,0x3C000000,,
,,,,,,normal2,,0x3BFF0000,,
,,,,,,normal3,,0x34000000,,
,,,,,,normal4,,0x33FF0000,,
,,,,,,max_normal,,0x7F7F0000,,
