type,,,val,
-nan3,,,0xFF,
-nan2,,,0xFE,
-nan1,,,0xFD,
-inf,,,0xFC,
-normal_max,,,0xFB,
-normal,,,0xDE,
-normal_min,,,0x84,
-sub_max,,,0x83,
-sub,,,0x82,
-sub_min,,,0x81,
-zero,,,0x80,
zero,,,0x00,
sub_min,,,0x01,
sub,,,0x02,
sub_max,,,0x03,
normal_min,,,0x04,
normal,,,0x5E,
normal_max,,,0x7B,
inf,,,0x7C,
nan1,,,0x7D,
nan2,,,0x7E,
nan3,,,0x7F,
test1,,,0x7B,
test2,,,0x02,
test3,,,0x34,
test4,,,0x33,
,,,,
test,,,,
x,,exp_out,,test_out
test1,,0x47600000,,
test2,,0x38000000,,
test3,,0x3E800000,,
test4,,0x3E600000,,
-nan3,,0x7FC00000,,
-nan2,,0x7FC00000,,
-nan1,,0x7FC00000,,
-inf,,0xFF800000,,
-normal_max,,0xC7600000,,
-normal,,0xC3C00000,,
-normal_min,,0xB8800000,,
-sub_max,,0xB8400000,,
-sub,,0xB8000000,,
-sub_min,,0xB7800000,,
-zero,,0x80000000,,
zero,,0x00000000,,
sub_min,,0x37800000,,
sub,,0x38000000,,
sub_max,,0x38400000,,
normal_min,,0x38800000,,
normal,,0x43C00000,,
normal_max,,0x47600000,,
inf,,0x7F800000,,
nan1,,0x7FC00000,,
nan2,,0x7FC00000,,
nan3,,0x7FC00000,,
