,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,type,,,val,,,
,,,,,,,,,,qnan,,,0x7FC00000,,,
,,,,,,,,,,snan,,,0xFFA00000,,,
,,,,,,,,,,inf,,,0x7F800000,,,
,,,,,,,,,,-inf,,,0xFF800000,,,
,,,,,,,,,,zero,,,0x00000000,,,
,,,,,,,,,,-zero,,,0x80000000,,,
,,,,,,,,,,normal,,,0x01C00001,,,
,,,,,,,,,,-normal,,,0x81C00000,,,
,,,,,,,,,,normal2,,,0x34000000,,,
,,,,,,,,,,-normal2,,,0xB4000000,,,
,,,,,,,,,,normal3,,,0x33FFFFFF,,,
,,,,,,,,,,-normal3,,,0xB3FFFFFF,,,
,,,,,,,,,,normal4,,,0x34800000,,,
,,,,,,,,,,normal5,,,0x347FFFFF,,,
,,,,,,,,,,normal6,,,0x00c00000,,,
,,,,,,,,,,normal7,,,0x80a00000,,,
,,,,,,,,,,subnormal,,,0x00400000,,,
,,,,,,,,,,-subnormal,,,0x80400000,,,
,,,,,,,,,,near_overflow,,,0x7F7FFFFF,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,test,,,,,,
,,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,,snan,,normal,,0x7FC00000,,
,,,,,,,,,,snan,,snan,,0x7FC00000,,
,,,,,,,,,,inf,,inf,,0x7F800000,,
,,,,,,,,,,-inf,,-inf,,0xFF800000,,
,,,,,,,,,,inf,,-inf,,0x7FC00000,,
,,,,,,,,,,inf,,normal,,0x7F800000,,
,,,,,,,,,,-inf,,normal,,0xFF800000,,
,,,,,,,,,,zero,,zero,,0x00000000,,
,,,,,,,,,,-zero,,-zero,,0x80000000,,
,,,,,,,,,,zero,,-zero,,0x00000000,,
,,,,,,,,,,zero,,normal,,0x01C00001,,
,,,,,,,,,,-zero,,normal,,0x01C00001,,
,,,,,,,,,,subnormal,,normal,,0x01D00001,,
,,,,,,,,,,subnormal,,subnormal,,0x00800000,,
,,,,,,,,,,normal,,-normal,,0x00000004,,
,,,,,,,,,,normal2,,normal2,,0x34800000,,
,,,,,,,,,,normal3,,normal3,,0x347FFFFF,,
,,,,,,,,,,normal4,,-normal2,,0x34000000,,
,,,,,,,,,,normal5,,-normal3,,0x33FFFFFF,,
,,,,,,,,,,normal6,,normal7,,0x00200000,,
,,,,,,,,,,near_overflow,,zero,,0x7F7FFFFF,,
