,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,type,,,val,,,
,,,,,,,qnan,,,0x7FC00000,,,
,,,,,,,snan,,,0xFFA00000,,,
,,,,,,,normal,,,0x34000000,,,
,,,,,,,-normal,,,0xB4000000,,,
,,,,,,,normal2,,,0x33FFFFFF,,,
,,,,,,,-normal2,,,0xB3FFFFFF,,,
,,,,,,,subnormal,,,0x00400000,,,
,,,,,,,-subnormal,,,0x80400000,,,
,,,,,,,,,,,,,
,,,,,,,test,,,,,,
,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,snan,,0x00000000,,0x7FC00000,,
,,,,,,,snan,,0x07000000,,0x7FC00000,,
,,,,,,,snan,,0x0D000000,,0x7FC00000,,
,,,,,,,normal,,0x00000000,,0x34000000,,
,,,,,,,normal,,0x00070000,,0xB4000000,,
,,,,,,,normal,,0x000D0000,,0x34000000,,
,,,,,,,normal2,,0x00000000,,0x33FFFFFF,,
,,,,,,,normal2,,0x00070000,,0xB3FFFFFF,,
,,,,,,,normal2,,0x000D0000,,0x33FFFFFF,,
,,,,,,,subnormal,,0x00000000,,0x00400000,,
,,,,,,,subnormal,,0x00007000,,0x80400000,,
,,,,,,,subnormal,,0x0000D000,,0x00400000,,
