type,,,val,
-snan,,,0xFFA00000,
-inf,,,0xFF800000,
-normal_overflow2,,,0xC3E80001,
-normal_overflow1,,,0xC3E80000,
-normal_max,,,0xC3E00000,
-normal,,,0xBFC00000,
-normal_min,,,0xBC800000,
-sub_max,,,0xBC600000,
-sub,,,0xBBE00000,
-sub_min,,,0xBB000000,
-sub_underflow2,,,0xBA800001,
-sub_underflow1,,,0xBA800000,
-zero,,,0x80000000,
zero,,,0x00000000,
sub_underflow1,,,0x3A800000,
sub_underflow2,,,0x3A800001,
sub_min,,,0x3B000000,
sub,,,0x3BE00000,
sub_max,,,0x3C600000,
normal_min,,,0x3C800000,
normal,,,0x3FC00000,
normal_max,,,0x43E00000,
normal_overflow1,,,0x43E80000,
normal_overflow2,,,0x43E80001,
inf,,,0x7F800000,
qnan,,,0x7FC80000,
,,,,
test,,,,
x,,exp_out,,test_out
-snan,,0x7F,,
-inf,,0x7F,,
-normal_overflow2,,0x7F,,
-normal_overflow1,,0xFE,,
-normal_max,,0xFE,,
-normal,,0xBC,,
-normal_min,,0x88,,
-sub_max,,0x87,,
-sub,,0x84,,
-sub_min,,0x81,,
-sub_underflow2,,0x81,,
-sub_underflow1,,0x80,,
-zero,,0x80,,
zero,,0x00,,
sub_underflow1,,0x00,,
sub_underflow2,,0x01,,
sub_min,,0x01,,
sub,,0x04,,
sub_max,,0x07,,
normal_min,,0x08,,
normal,,0x3C,,
normal_max,,0x7E,,
normal_overflow1,,0x7E,,
normal_overflow2,,0x7F,,
inf,,0x7F,,
qnan,,0x7F,,
