,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,type,,,val,,,
,,,,,,,qnan,,,0x7FC0,,,
,,,,,,,snan,,,0xFFA0,,,
,,,,,,,inf,,,0x7F80,,,
,,,,,,,-inf,,,0xFF80,,,
,,,,,,,zero,,,0x0000,,,
,,,,,,,-zero,,,0x8000,,,
,,,,,,,normal,,,0x01C1,,,
,,,,,,,-normal,,,0x81C0,,,
,,,,,,,normal2,,,0x3400,,,
,,,,,,,-normal2,,,0xB400,,,
,,,,,,,normal3,,,0x33FF,,,
,,,,,,,-normal3,,,0xB3FF,,,
,,,,,,,normal4,,,0x3480,,,
,,,,,,,normal5,,,0x347F,,,
,,,,,,,subnormal,,,0x0040,,,
,,,,,,,-subnormal,,,0x8040,,,
,,,,,,,near_overflow,,,0x7F7F,,,
,,,,,,,,,,,,,
,,,,,,,test,,,,,,
,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,snan,,normal,,0x7FC0,,
,,,,,,,snan,,snan,,0x7FC0,,
,,,,,,,inf,,inf,,0x7F80,,
,,,,,,,-inf,,-inf,,0xFF80,,
,,,,,,,inf,,-inf,,0x7FC0,,
,,,,,,,inf,,normal,,0x7F80,,
,,,,,,,-inf,,normal,,0xFF80,,
,,,,,,,zero,,zero,,0x0000,,
,,,,,,,-zero,,-zero,,0x8000,,
,,,,,,,zero,,-zero,,0x0000,,
,,,,,,,zero,,normal,,0x01C1,,
,,,,,,,-zero,,normal,,0x01C1,,
,,,,,,,subnormal,,normal,,0x01D1,,
,,,,,,,subnormal,,subnormal,,0x0080,,
,,,,,,,normal,,-normal,,0x0004,,
,,,,,,,normal2,,normal2,,0x3480,,
,,,,,,,normal3,,normal3,,0x347F,,
,,,,,,,normal4,,-normal2,,0x3400,,
,,,,,,,normal5,,-normal3,,0x33FF,,
,,,,,,,near_overflow,,zero,,0x7F7F,,
