,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,type,,,val,,,
,,,,,,,,,qnan,,,0x7FC0,,,
,,,,,,,,,snan,,,0xFFA0,,,
,,,,,,,,,inf,,,0x7F80,,,
,,,,,,,,,-inf,,,0xFF80,,,
,,,,,,,,,zero,,,0x0000,,,
,,,,,,,,,-zero,,,0x8000,,,
,,,,,,,,,normal,,,0x3FC1,,,
,,,,,,,,,-normal,,,0xBFC0,,,
,,,,,,,,,-normal_1,,,0xBFC1,,,
,,,,,,,,,subnormal,,,0x0040,,,
,,,,,,,,,-subnormal_1,,,0x8041,,,
,,,,,,,,,-subnormal,,,0x8040,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,test,,,,,,
,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,snan,,normal,,0,,
,,,,,,,,,qnan,,normal,,0,,
,,,,,,,,,normal,,snan,,0,,
,,,,,,,,,snan,,snan,,0,,
,,,,,,,,,qnan,,qnan,,0,,
,,,,,,,,,inf,,inf,,1,,
,,,,,,,,,-inf,,-inf,,1,,
,,,,,,,,,-inf,,inf,,0,,
,,,,,,,,,inf,,-inf,,0,,
,,,,,,,,,normal,,inf,,0,,
,,,,,,,,,inf,,normal,,0,,
,,,,,,,,,-inf,,normal,,0,,
,,,,,,,,,normal,,-inf,,0,,
,,,,,,,,,zero,,zero,,1,,
,,,,,,,,,-zero,,-zero,,1,,
,,,,,,,,,-zero,,zero,,1,,
,,,,,,,,,zero,,-zero,,1,,
,,,,,,,,,zero,,normal,,0,,
,,,,,,,,,normal,,zero,,0,,
,,,,,,,,,-zero,,normal,,0,,
,,,,,,,,,subnormal,,normal,,0,,
,,,,,,,,,subnormal,,subnormal,,1,,
,,,,,,,,,-subnormal_1,,-subnormal,,0,,
,,,,,,,,,normal,,-normal,,0,,
,,,,,,,,,-normal_1,,-normal,,0,,
,,,,,,,,,-normal,,-normal_1,,0,,
