,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,type,,,val,,,
,,,,,,,,,qnan,,,0x7FC0,,,
,,,,,,,,,snan,,,0xFFA0,,,
,,,,,,,,,inf,,,0x7F80,,,
,,,,,,,,,-inf,,,0xFF80,,,
,,,,,,,,,zero,,,0x0000,,,
,,,,,,,,,-zero,,,0x8000,,,
,,,,,,,,,normal,,,0x3FC1,,,
,,,,,,,,,-normal,,,0xBFC0,,,
,,,,,,,,,-normal_1,,,0xBFC1,,,
,,,,,,,,,subnormal,,,0x0040,,,
,,,,,,,,,-subnormal_1,,,0x8041,,,
,,,,,,,,,-subnormal,,,0x8040,,,
,,,,,,,,,,,,,,,
,,,,,,,,,test,,,,,,
,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,snan,,normal,,0x7FC0,,
,,,,,,,,,normal,,qnan,,0x7FC0,,
,,,,,,,,,qnan,,snan,,0x7FC0,,
,,,,,,,,,qnan,,qnan,,0x7FC0,,
,,,,,,,,,inf,,inf,,0x7F80,,
,,,,,,,,,-inf,,-inf,,0xFF80,,
,,,,,,,,,inf,,-inf,,0x7F80,,
,,,,,,,,,inf,,normal,,0x7F80,,
,,,,,,,,,-inf,,normal,,0x3FC1,,
,,,,,,,,,zero,,zero,,0x0000,,
,,,,,,,,,-zero,,-zero,,0x8000,,
,,,,,,,,,zero,,-zero,,0x0000,,
,,,,,,,,,zero,,normal,,0x3FC1,,
,,,,,,,,,-zero,,normal,,0x3FC1,,
,,,,,,,,,subnormal,,normal,,0x3FC1,,
,,,,,,,,,subnormal,,subnormal,,0x0040,,
,,,,,,,,,-subnormal_1,,-subnormal,,0x8040,,
,,,,,,,,,normal,,-normal,,0x3FC1,,
,,,,,,,,,-normal,,-normal_1,,0xBFC0,,
