,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,type,,,val,,,
,,,,,,qnan,,,0x7FC0,,,
,,,,,,snan,,,0xFFA0,,,
,,,,,,normal,,,0x3C00,,,
,,,,,,-normal,,,0xBC00,,,
,,,,,,normal2,,,0x3BFF,,,
,,,,,,-normal2,,,0xBBFF,,,
,,,,,,subnormal,,,0x0040,,,
,,,,,,-subnormal,,,0x8040,,,
,,,,,,,,,,,,
,,,,,,test,,,,,,
,,,,,,x,,y,,exp_out,,test_out
,,,,,,snan,,0x00000000,,0x7FC0,,
,,,,,,snan,,0x07000000,,0x7FC0,,
,,,,,,snan,,0x0D000000,,0x7FC0,,
,,,,,,normal,,0x00000000,,0x3C00,,
,,,,,,normal,,0x00070000,,0xBC00,,
,,,,,,normal,,0x000D0000,,0x3C00,,
,,,,,,normal2,,0x00000000,,0x3BFF,,
,,,,,,normal2,,0x00070000,,0xBBFF,,
,,,,,,normal2,,0x000D0000,,0x3BFF,,
,,,,,,subnormal,,0x00000000,,0x0040,,
,,,,,,subnormal,,0x00007000,,0x8040,,
,,,,,,subnormal,,0x0000D000,,0x0040,,
