,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,type,,,val,,,
,,,,,,,,qnan,,,0x7FC0,,,
,,,,,,,,snan,,,0xFFA0,,,
,,,,,,,,inf,,,0x7F80,,,
,,,,,,,,-inf,,,0xFF80,,,
,,,,,,,,zero,,,0x0000,,,
,,,,,,,,-zero,,,0x8000,,,
,,,,,,,,normal,,,0x01C1,,,
,,,,,,,,-normal,,,0x81C1,,,
,,,,,,,,normal2,,,0x01C0,,,
,,,,,,,,normal3,,,0x3400,,,
,,,,,,,,-normal3,,,0xB400,,,
,,,,,,,,normal4,,,0x33FF,,,
,,,,,,,,-normal4,,,0xB3FF,,,
,,,,,,,,normal5,,,0x3480,,,
,,,,,,,,normal6,,,0x347F,,,
,,,,,,,,subnormal,,,0x0040,,,
,,,,,,,,-subnormal,,,0x8040,,,
,,,,,,,,near_overflow,,,0x7F7F,,,
,,,,,,,,,,,,,,
,,,,,,,,test,,,,,,
,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,snan,,normal,,0x7FC0,,
,,,,,,,,normal,,snan,,0x7FC0,,
,,,,,,,,snan,,snan,,0x7FC0,,
,,,,,,,,inf,,inf,,0x7FC0,,
,,,,,,,,-inf,,-inf,,0x7FC0,,
,,,,,,,,inf,,-inf,,0x7F80,,
,,,,,,,,-inf,,inf,,0xFF80,,
,,,,,,,,inf,,normal,,0x7F80,,
,,,,,,,,normal,,inf,,0xFF80,,
,,,,,,,,-inf,,normal,,0xFF80,,
,,,,,,,,normal,,-inf,,0x7F80,,
,,,,,,,,zero,,zero,,0x0000,,
,,,,,,,,-zero,,-zero,,0x0000,,
,,,,,,,,zero,,-zero,,0x0000,,
,,,,,,,,-zero,,zero,,0x8000,,
,,,,,,,,zero,,normal,,0x81C1,,
,,,,,,,,normal,,zero,,0x01C1,,
,,,,,,,,-zero,,normal,,0x81C1,,
,,,,,,,,normal,,-zero,,0x01C1,,
,,,,,,,,normal,,subnormal,,0x01B1,,
,,,,,,,,subnormal,,-subnormal,,0x0080,,
,,,,,,,,normal,,normal2,,0x0004,,
,,,,,,,,normal3,,-normal3,,0x3480,,
,,,,,,,,normal4,,-normal4,,0x347F,,
,,,,,,,,normal5,,normal3,,0x3400,,
,,,,,,,,normal6,,normal4,,0x33FF,,
,,,,,,,,near_overflow,,zero,,0x7F7F,,
