,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,type,,,val,
,,,,,,qnan,,,0x7E00,
,,,,,,snan,,,0xFC01,
,,,,,,inf,,,0x7C00,
,,,,,,subnormal,,,0x0200,
,,,,,,max_normal,,,0x7BFF,
,,,,,,normal,,,0x1400,
,,,,,,normal2,,,0x13FF,
,,,,,,subnormal2,,,0x0002,
,,,,,,subnormal3,,,0x0001,
,,,,,,,,,,
,,,,,,test,,,,
,,,,,,x,,exp_out,,test_out
,,,,,,snan,,0x7FC00000,,
,,,,,,inf,,0x7F800000,,
,,,,,,subnormal,,0x38000000,,
,,,,,,max_normal,,0x477FE000,,
,,,,,,normal,,0x3A800000,,
,,,,,,normal2,,0x3A7FE000,,
,,,,,,subnormal2,,0x34000000,,
,,,,,,subnormal3,,0x33800000,,
