type,,,val,
,,,0xFF,
-normal_max,,,0xFE,
-normal,,,0xE4,
-normal_min,,,0x88,
-sub_max,,,0x87,
-sub,,,0x85,
-sub_min,,,0x81,
-zero,,,0x80,
zero,,,0x00,
sub_min,,,0x01,
sub,,,0x05,
sub_max,,,0x07,
normal_min,,,0x08,
normal,,,0x64,
normal_max,,,0x7E,
,,,0x7F,
test1,,,0x7E,
test2,,,0x04,
test3,,,0x20,
test4,,,0x1F,
,,,,
test,,,,
x,,exp_out,,test_out
test1,,0x43E00000,,
test2,,0x3C000000,,
test3,,0x3E000000,,
test4,,0x3DF00000,,
,,0x7FC00000,,
-normal_max,,0xC3E00000,,
-normal,,0xC2400000,,
-normal_min,,0xBC800000,,
-sub_max,,0xBC600000,,
-sub,,0xBC200000,,
-sub_min,,0xBB000000,,
-zero,,0x80000000,,
zero,,0x00000000,,
sub_min,,0x3B000000,,
sub,,0x3C200000,,
sub_max,,0x3C600000,,
normal_min,,0x3C800000,,
normal,,0x42400000,,
normal_max,,0x43e00000,,
,,0x7FC00000,,
