type,,,val,
-nan3,,,0xFF,
-nan2,,,0xFE,
-nan1,,,0xFD,
-inf,,,0xFC,
-normal_max,,,0xFB,
-normal,,,0xDE,
-normal_min,,,0x84,
-sub_max,,,0x83,
-sub,,,0x82,
-sub_min,,,0x81,
-zero,,,0x80,
zero,,,0x00,
sub_min,,,0x01,
sub,,,0x02,
sub_max,,,0x03,
normal_min,,,0x04,
normal,,,0x5E,
normal_max,,,0x7B,
inf,,,0x7C,
nan1,,,0x7D,
nan2,,,0x7E,
nan3,,,0x7F,
,,,,
test,,,,
x,,exp_out,,test_out
-nan3,,0x7FC0,,
-nan2,,0x7FC0,,
-nan1,,0x7FC0,,
-inf,,0xFF80,,
-normal_max,,0xC760,,
-normal,,0xC3C0,,
-normal_min,,0xB880,,
-sub_max,,0xB840,,
-sub,,0xB800,,
-sub_min,,0xB780,,
-zero,,0x8000,,
zero,,0x0000,,
sub_min,,0x3780,,
sub,,0x3800,,
sub_max,,0x3840,,
normal_min,,0x3880,,
normal,,0x43C0,,
normal_max,,0x4760,,
inf,,0x7F80,,
nan1,,0x7FC0,,
nan2,,0x7FC0,,
nan3,,0x7FC0,,
