,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,type,,,val,,,
,,,,,,,,,,qnan,,,0x7FC80000,,,
,,,,,,,,,,snan,,,0xFFA00000,,,
,,,,,,,,,,inf,,,0x7F800000,,,
,,,,,,,,,,-inf,,,0xFF800000,,,
,,,,,,,,,,zero,,,0x00000000,,,
,,,,,,,,,,-zero,,,0x80000000,,,
,,,,,,,,,,normal,,,0x3FC00001,,,
,,,,,,,,,,normal_a,,,0x4089999A,,,
,,,,,,,,,,normal_b,,,0x7E967699,,,
,,,,,,,,,,-normal,,,0xBFC00000,,,
,,,,,,,,,,-normal_a,,,0xC0A9999A,,,
,,,,,,,,,,-normal_b,,,0xFE967699,,,
,,,,,,,,,,subnormal,,,0x00400000,,,
,,,,,,,,,,-subnormal,,,0x80400000,,,
,,,,,,,,,,subnormal_a,,,0x34000000,,,
,,,,,,,,,,subnormal_b,,,0x33FFFFFF,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,test,,,,,,
,,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,,qnan,,-subnormal,,0,,
,,,,,,,,,,snan,,subnormal_b,,1,,
,,,,,,,,,,inf,,subnormal_a,,0,,
,,,,,,,,,,-inf,,subnormal,,0,,
,,,,,,,,,,zero,,-normal_b,,0,,
,,,,,,,,,,-zero,,-normal_a,,1,,
,,,,,,,,,,normal,,-normal,,0,,
,,,,,,,,,,normal_a,,normal_b,,1,,
,,,,,,,,,,normal_b,,normal_a,,1,,
,,,,,,,,,,-normal,,normal,,0,,
,,,,,,,,,,-normal_a,,-zero,,0,,
,,,,,,,,,,-normal_b,,zero,,0,,
,,,,,,,,,,subnormal,,-inf,,0,,
,,,,,,,,,,subnormal_a,,inf,,0,,
,,,,,,,,,,subnormal_b,,snan,,0,,
,,,,,,,,,,-subnormal,,qnan,,0,,
