type,,,val,
snan,,,0xFFA00000,
inf,,,0xFF800000,
normal_overflow2,,,0xFF7F8000,
normal_overflow1,,,0xFF7F7FFF,
normal_max,,,0xFF7F0000,
normal,,,0xBFC00000,
normal_min,,,0x80800000,
sub_max,,,0x807F0000,
sub,,,0x801C0000,
sub_min,,,0x80010000,
sub_underflow2,,,0x80008001,
sub_underflow1,,,0x80008000,
zero,,,0x80000000,
zero,,,0x00000000,
sub_underflow1,,,0x00008000,
sub_underflow2,,,0x00008001,
sub_min,,,0x00010000,
sub,,,0x001C0000,
sub_max,,,0x007F0000,
normal_min,,,0x00800000,
normal,,,0x3FC00000,
normal_max,,,0x7F7F0000,
normal_overflow1,,,0x7F7F7FFF,
normal_overflow2,,,0x7F7F8000,
inf,,,0x7F800000,
qnan,,,0x7FC80000,
test1,,,0x7F7F0000,
test2,,,0x3C000000,
test3,,,0x3BFF0000,
,,,,
,,,,
test,,,,
x,,exp_out,,test_out
test1,,0x7F7F,,
test2,,0x3C00,,
test3,,0x3BFF,,
snan,,0x7FC0,,
inf,,0xFF80,,
normal_overflow2,,0xFF80,,
normal_overflow1,,0xFF7F,,
normal_max,,0xFF7F,,
normal,,0xBFC0,,
normal_min,,0x8080,,
sub_max,,0x807F,,
sub,,0x801C,,
sub_min,,0x8001,,
sub_underflow2,,0x8001,,
sub_underflow1,,0x8000,,
zero,,0x8000,,
zero,,0x0000,,
sub_underflow1,,0x0000,,
sub_underflow2,,0x0001,,
sub_min,,0x0001,,
sub,,0x001C,,
sub_max,,0x007F,,
normal_min,,0x0080,,
normal,,0x3FC0,,
normal_max,,0x7F7F,,
normal_overflow1,,0x7F7F,,
normal_overflow2,,0x7F80,,
inf,,0x7F80,,
qnan,,0x7FC0,,
