type,,,val,
snan,,,0xFFA00000,
inf,,,0xFF800000,
normal_overflow2,,,0xC77FF000,
normal_overflow1,,,0xC77FEFFF,
normal_max,,,0xC77FE000,
normal,,,0xBFC00000,
normal_min,,,0xB8800000,
sub_max,,,0xB87FC000,
sub,,,0xB5E00000,
sub_min,,,0xB3800000,
sub_underflow2,,,0xB3000001,
sub_underflow1,,,0xB3000000,
zero,,,0x80000000,
zero,,,0x00000000,
sub_underflow1,,,0x33000000,
sub_underflow2,,,0x33000001,
sub_min,,,0x33800000,
sub,,,0x35E00000,
sub_max,,,0x387FC000,
normal_min,,,0x38800000,
normal,,,0x3FC00000,
normal_max,,,0x477FE000,
normal_overflow1,,,0x477FEFFF,
normal_overflow2,,,0x477FF000,
inf,,,0x7F800000,
qnan,,,0x7FC80000,
test1,,,0x477FE000,
test2,,,0x3A800000,
test3,,,0x3A7FE000,
test4,,,0x38000000,
,,,,
test,,,,
x,,exp_out,,test_out
test1,,0x7BFF,,
test2,,0x1400,,
test3,,0x13FF,,
test4,,0x0200,,
snan,,0xFF00,,
inf,,0xFC00,,
normal_overflow2,,0xFC00,,
normal_overflow1,,0xFBFF,,
normal_max,,0xFBFF,,
normal,,0xBE00,,
normal_min,,0x8400,,
sub_max,,0x83FF,,
sub,,0x801C,,
sub_min,,0x8001,,
sub_underflow2,,0x8001,,
sub_underflow1,,0x8000,,
zero,,0x8000,,
zero,,0x0000,,
sub_underflow1,,0x0000,,
sub_underflow2,,0x0001,,
sub_min,,0x0001,,
sub,,0x001C,,
sub_max,,0x03FF,,
normal_min,,0x0400,,
normal,,0x3E00,,
normal_max,,0x7BFF,,
normal_overflow1,,0x7BFF,,
normal_overflow2,,0x7C00,,
inf,,0x7C00,,
qnan,,0x7E00,,
