,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,type,,,val,
,,,,,,,,,,qnan,,,0x7FC80000,
,,,,,,,,,,snan,,,0xFFA00000,
,,,,,,,,,,inf,,,0x7F800000,
,,,,,,,,,,-inf,,,0xFF800000,
,,,,,,,,,,zero,,,0x00000000,
,,,,,,,,,,-zero,,,0x80000000,
,,,,,,,,,,normal,,,0x3FC00001,
,,,,,,,,,,normal_1,,,0x3FC00000,
,,,,,,,,,,-normal,,,0xBFC00000,
,,,,,,,,,,subnormal,,,0x00400000,
,,,,,,,,,,subnormal_1,,,0x00400001,
,,,,,,,,,,-subnormal,,,0x80400000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,test,,,,
,,,,,,,,,,x,,exp_out,,test_out
,,,,,,,,,,snan,,1,,
,,,,,,,,,,qnan,,1,,
,,,,,,,,,,inf,,1,,
,,,,,,,,,,-inf,,1,,
,,,,,,,,,,zero,,0,,
,,,,,,,,,,-zero,,0,,
,,,,,,,,,,subnormal,,0,,
,,,,,,,,,,subnormal_1,,0,,
,,,,,,,,,,normal,,0,,
,,,,,,,,,,normal_1,,0,,
