type,,,val,,,
normal,,,0x00000000,,,
normal_1,,,0x00001000,,,
normal_2,,,0x00001111,,,
normal_3,,,0x05050505,,,
normal_4,,,0x10000000,,,
normal_5,,,0x10101010,,,
normal_6,,,0x11110000,,,
normal_7,,,0x50505050,,,
normal_8,,,0x80000000,,,
normal_9,,,0x80808080,,,
normal_10,,,0xA0A0A0A0,,,
normal_11,,,0xFFF0,,,
normal_12,,,0xFFF0,,,
normal_13,,,0xFFFFFFFF,,,0xFFFFFFFF
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
test,,,,,,
x,,y,,exp_out,,test_out
normal,,normal_13,,0,,
normal,,normal,,1,,
normal_13,,normal_13,,1,,
normal_3,,normal_2,,0,,
normal_8,,normal_9,,0,,
normal_2,,normal_6,,0,,
normal_8,,normal_8,,1,,
normal_12,,normal_4,,0,,
normal_10,,normal_10,,1,,
normal_11,,normal_8,,0,,
