,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,type,,,val,,,
,,,,,,,,,,,normal,,,0x0000,,,
,,,,,,,,,,,normal_1,,,0x0010,,,
,,,,,,,,,,,normal_2,,,0x0011,,,
,,,,,,,,,,,normal_3,,,0x0505,,,
,,,,,,,,,,,normal_4,,,0x1000,,,
,,,,,,,,,,,normal_5,,,0x1010,,,
,,,,,,,,,,,normal_6,,,0x1100,,,
,,,,,,,,,,,normal_7,,,0xFFF0,,,
,,,,,,,,,,,normal_8,,,0xFFF0,,,
,,,,,,,,,,,normal_9,,,0xF0F0,,,
,,,,,,,,,,,normal_10,,,,,,
,,,,,,,,,,,normal_11,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,test,,,,,,
,,,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,,,normal_11,,normal,,0,,
,,,,,,,,,,,normal,,normal,,0,,
,,,,,,,,,,,normal_11,,normal_11,,0,,
,,,,,,,,,,,normal_3,,normal_7,,1,,
,,,,,,,,,,,normal_9,,normal_4,,0,,
,,,,,,,,,,,normal_2,,normal_5,,1,,
,,,,,,,,,,,normal_6,,normal_6,,0,,
,,,,,,,,,,,normal_8,,normal_1,,0,,
,,,,,,,,,,,normal_1,,normal_10,,1,,
,,,,,,,,,,,normal_8,,normal_8,,0,,
,,,,,,,,,,,normal_10,,normal_7,,0,,
,,,,,,,,,,,normal_9,,normal_5,,0,,
