,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,type,,,val,,,
,,,,zero,,,0x00000000,,,
,,,,normal_a,,,0xFFFFFFFF,,,
,,,,normal_b,,,0xAAAAAAAA,,,
,,,,normal_c,,,0x0000FFFF,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,test,,,,,,
,,,,x,,y,,exp_out,,test_out
,,,,zero,,normal_a,,0xFFFFFFFF,,
,,,,normal_a,,zero,,0x00000000,,
,,,,normal_a,,normal_b,,0x00000000,,
,,,,normal_b,,normal_a,,0x55555555,,
,,,,zero,,normal_c,,0x0000FFFF,,
,,,,normal_c,,normal_a,,0xFFFF0000,,
