,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,type,,,val,,,
,,,,normal_a,,,0x80000000,,,
,,,,normal_b,,,0x00008000,,,
,,,,normal_c,,,0x00000001,,,
,,,,zero,,,0x00000000,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,test,,,,,,
,,,,x,,,,exp_out,,test_out
,,,,normal_a,,,,0x00000000,,
,,,,normal_b,,,,0x00000010,,
,,,,normal_c,,,,0x0000001F,,
,,,,zero,,,,0x00000000,,
