,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,type,,,val,,,
,,,,,,,,,,,normal,,,0x00000000,,,
,,,,,,,,,,,normal_1,,,0xFFF0,,,
,,,,,,,,,,,normal_2,,,0xFFF0,,,
,,,,,,,,,,,normal_3,,,0x05050505,,,
,,,,,,,,,,,normal_4,,,,,,
,,,,,,,,,,,normal_5,,,,,,
,,,,,,,,,,,normal_6,,,0x11110000,,,
,,,,,,,,,,,normal_7,,,,,,
,,,,,,,,,,,normal_8,,,,,,
,,,,,,,,,,,normal_9,,,0xF0F0F0F0,,,
,,,,,,,,,,,normal_10,,,0xFFFF0000,,,
,,,,,,,,,,,normal_11,,,0xFFFFFFFF,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,test,,,,,,
,,,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,,,normal,,normal_11,,0,,
,,,,,,,,,,,normal,,normal,,1,,
,,,,,,,,,,,normal_11,,normal_11,,1,,
,,,,,,,,,,,normal_3,,normal_2,,1,,
,,,,,,,,,,,normal_8,,normal_9,,0,,
,,,,,,,,,,,normal_2,,normal_6,,0,,
,,,,,,,,,,,normal_7,,normal_7,,1,,
,,,,,,,,,,,normal,,normal_4,,0,,
,,,,,,,,,,,normal_10,,normal_10,,1,,
,,,,,,,,,,,normal_6,,normal_3,,1,,
,,,,,,,,,,,normal_11,,normal_9,,1,,
,,,,,,,,,,,normal_8,,normal_11,,0,,
,,,,,,,,,,,normal_9,,normal_5,,1,,
